45000	19	0.20	365	4	2	
rate	19
debt	45000
projects	150000
cbu	400000	19	-	12	30	

45000	19	0.2	365	4	2		
rate	19						
debt	45000						
projects	150000						
cbu	 $450,000.00 	4	 $112,500.00 	12	 $9,375.00 		 $112,500.00 


45000	19	0.2	365	4	2		
rate	19						
debt	45000						
projects	150000						
cbu	 $450,000.00 	4	 $112,500.00 	12	 $9,375.00 		 $112,500.00 
	10						
	 $45,000.00 						
	10						
	 $4,500.00 						
	10						
	 $450.00 						
	10						
	45						
	10	 $100,000.00 					
	 $4.50 	 $4.50 					
		 $450,000.00 					




